x,y,dx_pix,dy_pix,u_kmh,v_kmh,speed_kmh,corr,corr_margin,height_km,qc_basic,qc_consistency,qc_final,du_error_kmh,dv_error_kmh,vector_error_kmh,u_true_kmh,v_true_kmh
86.0,70.0,2.5230911928207402,1.0853928328754345,60.55418862769777,-26.04942798901043,65.91951500817828,0.9825288919488125,0.0010257307785844771,2.8921708345012185,False,False,False,9.917709003168632,2.751191367263086,10.292230361337385,50.63647962452914,-28.800619356273515
102.0,70.0,2.7885923722414425,0.8609908804057823,66.92621693379462,-20.663781129738776,70.04363185648704,0.9817945496813949,0.018537474401514764,3.8682457581693135,True,True,True,-7.123042406276426,-2.5188957446292157,7.55530071498967,74.04925934007105,-18.14488538510956
118.0,70.0,2.744170860998245,0.8866252924175644,65.8601006639579,-21.279007018021545,69.21234715814568,0.9833355539161451,0.013454544754915143,3.411116372066178,False,False,False,1.279122274436304,-2.2689409190024747,2.6046586507415705,64.58097838952159,-19.01006609901907
134.0,70.0,2.3791244222749413,0.6654315992541826,57.09898613459859,-15.970358382100382,59.290358106962096,0.9812243359877337,0.006400957273400509,3.002380249878686,False,False,False,0.011100270159921877,-0.2630448111155683,0.2632789179794848,57.08788586443867,-15.707313570984814
150.0,70.0,2.326833927514785,0.30665083442558466,55.84401426035485,-7.359620026214032,56.32688466124295,0.9706620668958238,0.011233538128570086,2.644646240883666,False,False,False,-0.8568458462459034,0.2683162231498395,0.8978743786489582,56.70086010660075,-7.627936249363872
166.0,70.0,2.5114180147341516,-0.059648559832918085,60.27403235361964,1.431565435990034,60.29103047521006,0.9910959138447982,0.00014624417856012872,3.7387719367254233,False,False,False,-4.259036211791802,-2.1144250321159994,4.755016579339404,64.53306856541144,3.5459904681060337
22.0,86.0,2.7732301349325654,-0.27962337805258464,66.55752323838158,6.710961073262031,66.89499905190628,0.9879011112339127,0.003759055670487732,4.028641675287347,False,False,False,11.346397600105554,1.6148271354387775,11.460733186713252,55.21112563827602,5.096133937823254
38.0,86.0,3.1816602723381773,-0.365180906536899,76.35984653611627,8.764341756885576,76.86117257400329,0.9924514209866115,0.0010816707571684736,5.905442529603684,False,False,False,9.295801218971448,4.885825621372909,10.501581419248009,67.06404531714482,3.878516135512667
54.0,86.0,2.9531577979482617,0.17778110897744395,70.87578715075828,-4.266746615458655,71.004100803546,0.9918998336505149,0.0079521786913066,5.863687970108697,False,False,False,-8.447626637882493,-5.74396237936075,10.215453960963922,79.32341378864078,1.4772157639020946
70.0,86.0,2.7376115100927025,0.5408275011328328,65.70267624222487,-12.97986002718799,66.97251997435973,0.9883968835531511,0.0011392296534357138,4.716162357539594,False,False,False,6.763687909484098,2.720085142379057,7.290153449598483,58.93898833274077,-15.699945169567046
86.0,86.0,2.475597617829472,0.7652263200493497,59.41434282790733,-18.365431681184393,62.18804719966977,0.9914625830838307,0.00045319251231878965,4.263026059948649,False,False,False,4.457065745211885,3.840159203507522,5.883218316994934,54.95727708269545,-22.205590884691915
102.0,86.0,2.5021600109519153,0.6842125872641037,60.05184026284597,-16.42110209433849,62.25653470076098,0.986810919873251,6.935801768503946e-05,4.275501722562389,False,False,False,2.6018211980548926,5.133990256924644,5.755634587501622,57.45001906479108,-21.555092351263134
118.0,86.0,2.667588205819048,0.7147339092250906,64.02211693965715,-17.153613821402175,66.28029816294533,0.9826950412413504,0.006010092797369304,4.33831406703099,False,False,False,-1.0667622173995142,-2.915016907141064,3.104078800125632,65.08887915705667,-14.23859691426111
